"ပြည်နယ်/တိုင်း","မြို့နယ်","ကျေးရွာအုပ်စု","ကျေးရွာ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","အိုင်လျား (မြောက်)","1","0","0.00","0","0","0.00","0","101","185.00","37,100,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","101","185.00","37,100,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","အင်တောကျယ်","1","0","0.00","0","0","0.00","0","151","211.50","42,200,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","1","1.50","300,000","152","213.00","42,500,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဟင်းခွက်အိုင်","2","0","0.00","0","83","131.75","29,300,000","70","119.25","24,850,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","1","1.75","350,000","154","252.75","54,500,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","သံဘို","1","1","1.75","350,000","105","211.50","41,800,055","2","4.00","750,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","1","3.25","650,000","109","220.50","43,550,055"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဝက်သားချဉ်","1","0","0.00","0","62","213.00","41,700,000","19","49.00","10,000,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","81","262.00","51,700,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","လှိုင်သာ","2","0","0.00","0","75","236.00","40,700,000","11","32.00","4,600,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","1","2.00","800,000","87","270.00","46,100,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","လယ်ယား","1","0","0.00","0","13","31.00","5,900,000","5","11.00","2,100,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","5","14.00","2,500,000","23","56.00","10,500,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","လယ်ကြီးမြောက်","1","0","0.00","0","0","0.00","0","0","0.00","0","75","162.00","32,400,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","75","162.00","32,400,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","လက်ပံအိုင့်","1","0","0.00","0","7","17.00","5,400,000","12","29.00","8,900,000","0","0.00","0","1","3.00","600,000","0","0.00","0","0","0.00","0","0","0.00","0","5","13.00","4,000,000","25","62.00","18,900,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","လက်ပံပြား","1","0","0.00","0","0","0.00","0","39","79.50","13,500,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","39","79.50","13,500,000"
