"ပြည်နယ်/တိုင်း","မြို့နယ်","ကျေးရွာအုပ်စု","ကျေးရွာ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","အိုင်လျား (မြောက်)","1","26","55","8,700,000","0","0","0","9","9","3,600,000","0","0","0","0","0","0","0","0","0","0","0","0","35","64","12,300,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","အင်တောကျယ်","1","2","2","550,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","550,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဟင်းခွက်အိုင်","2","54","64","15,850,000","1","7","350,000","55","207","17,150,000","0","0","0","1","7","350,000","26","135","7,350,000","2","1","600,000","139","421","41,650,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","သံဘို","1","28","63","12,250,000","0","0","0","12","42","4,350,000","0","0","0","0","0","0","16","102","5,100,000","0","0","0","56","207","21,700,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဝက်သားချဉ်","1","5","12","4,050,000","0","0","0","2","7","1,700,000","0","0","0","0","0","0","0","0","0","0","0","0","7","19","5,750,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","လယ်ယား","1","18","28","5,300,000","0","0","0","9","21","2,400,000","0","0","0","0","0","0","0","0","0","0","0","0","27","49","7,700,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","လက်ပံအိုင့်","1","13","33","10,200,000","0","0","0","15","35","8,900,000","0","0","0","0","0","0","10","74","6,800,000","4","17","3,000,000","42","159","28,900,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","လက်ပံပြား","1","0","0","0","0","0","0","18","18","4,800,000","0","0","0","0","0","0","0","0","0","0","0","0","18","18","4,800,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","လက်ပံပင်","1","80","120","20,700,000","0","0","0","10","18","1,800,000","0","0","0","0","0","0","30","96","4,850,000","3","9","750,000","123","243","28,100,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ရေဆုံး","1","19","19","3,800,000","0","0","0","16","36","3,700,000","0","0","0","0","0","0","2","12","600,000","2","4","600,000","39","71","8,700,000"
